gyroX, -34.73, gyroY, -22.40, gyroZ, -28.50, accX, 0.06, accY, -0.97, accZ, 0.10, Pitch, -14.26, Roll, -121.72, Yaw, -142.89
gyroX, -8.61, gyroY, -135.86, gyroZ, -13.12, accX, -0.23, accY, -0.96, accZ, 0.02, Pitch, 11.70, Roll, -117.41, Yaw, -98.07
gyroX, -22.46, gyroY, -214.54, gyroZ, -39.67, accX, -0.26, accY, -1.07, accZ, 0.31, Pitch, 13.31, Roll, -86.86, Yaw, -1.72
gyroX, -13.61, gyroY, -59.69, gyroZ, 2.87, accX, -0.24, accY, -0.94, accZ, 0.39, Pitch, 5.33, Roll, -77.42, Yaw, 56.53
gyroX, -1.22, gyroY, 49.87, gyroZ, 28.26, accX, -0.06, accY, -0.92, accZ, 0.10, Pitch, 12.27, Roll, -85.37, Yaw, 44.53
gyroX, 12.15, gyroY, 27.34, gyroZ, 37.29, accX, -0.11, accY, -0.90, accZ, -0.07, Pitch, 28.71, Roll, -87.43, Yaw, 21.57
gyroX, -17.52, gyroY, -12.57, gyroZ, 10.74, accX, -0.13, accY, -0.97, accZ, -0.07, Pitch, 27.82, Roll, -90.27, Yaw, 22.18
gyroX, -2.87, gyroY, -20.32, gyroZ, 1.65, accX, -0.11, accY, -1.18, accZ, -0.10, Pitch, 20.43, Roll, -91.30, Yaw, 35.17
gyroX, 8.67, gyroY, 34.18, gyroZ, 0.98, accX, -0.06, accY, -1.09, accZ, -0.11, Pitch, 16.37, Roll, -91.44, Yaw, 29.84
gyroX, 24.78, gyroY, 143.74, gyroZ, -1.34, accX, -0.05, accY, -1.01, accZ, -0.08, Pitch, 3.01, Roll, -93.35, Yaw, -36.69
gyroX, 33.14, gyroY, 207.95, gyroZ, 7.57, accX, -0.11, accY, -1.10, accZ, -0.11, Pitch, 8.51, Roll, -87.68, Yaw, -150.25
gyroX, 12.27, gyroY, 175.17, gyroZ, 8.42, accX, -0.07, accY, -1.01, accZ, -0.01, Pitch, 10.68, Roll, -92.72, Yaw, 128.72
gyroX, 22.40, gyroY, 181.34, gyroZ, 4.21, accX, -0.12, accY, -1.03, accZ, 0.01, Pitch, 5.12, Roll, -93.52, Yaw, 32.80
