gyroX, -245.48, gyroY, -223.33, gyroZ, -175.60, accX, 0.54, accY, -0.70, accZ, 0.11, Pitch, -44.03, Roll, 113.65, Yaw, -34.67
gyroX, -176.15, gyroY, -481.26, gyroZ, -150.70, accX, 1.00, accY, -0.72, accZ, -0.02, Pitch, 19.94, Roll, 80.79, Yaw, -149.15
gyroX, -84.90, gyroY, -901.25, gyroZ, -114.99, accX, 2.12, accY, -1.13, accZ, 0.61, Pitch, -2.75, Roll, 120.35, Yaw, -68.03
gyroX, 323.00, gyroY, -272.22, gyroZ, -161.93, accX, 0.73, accY, -0.34, accZ, 0.27, Pitch, 31.04, Roll, 20.11, Yaw, 44.35
gyroX, 423.28, gyroY, -47.61, gyroZ, -315.43, accX, 0.62, accY, -0.67, accZ, -0.15, Pitch, 68.94, Roll, -139.96, Yaw, 40.96
gyroX, 310.00, gyroY, 17.15, gyroZ, -59.27, accX, -0.84, accY, -2.81, accZ, -0.57, Pitch, 46.81, Roll, 6.01, Yaw, -71.80
gyroX, 145.02, gyroY, -10.80, gyroZ, -153.69, accX, -0.77, accY, -0.89, accZ, -0.47, Pitch, -25.75, Roll, -69.32, Yaw, -131.14
gyroX, 296.57, gyroY, -299.62, gyroZ, -91.13, accX, -0.27, accY, -1.16, accZ, -0.49, Pitch, -46.50, Roll, -155.27, Yaw, 91.94
gyroX, 172.30, gyroY, 1017.58, gyroZ, -52.92, accX, 1.47, accY, -0.34, accZ, -2.41, Pitch, 65.87, Roll, -126.73, Yaw, -164.87
gyroX, 82.64, gyroY, 496.09, gyroZ, -132.45, accX, 0.41, accY, -0.94, accZ, -1.30, Pitch, -58.10, Roll, -115.11, Yaw, 121.93
gyroX, 65.25, gyroY, 42.24, gyroZ, -56.82, accX, 0.05, accY, -0.63, accZ, -0.78, Pitch, -69.63, Roll, -96.56, Yaw, 124.74
gyroX, 109.86, gyroY, -337.95, gyroZ, -57.25, accX, -0.04, accY, -0.81, accZ, 0.46, Pitch, -41.19, Roll, -135.23, Yaw, -158.28
gyroX, -55.05, gyroY, -1093.44, gyroZ, -117.74, accX, 1.56, accY, -1.06, accZ, 0.96, Pitch, 39.19, Roll, -110.44, Yaw, -45.29
gyroX, 17.40, gyroY, -528.08, gyroZ, -115.48, accX, 0.32, accY, -0.88, accZ, 0.03, Pitch, -33.39, Roll, -105.62, Yaw, 170.93
gyroX, 59.63, gyroY, 220.03, gyroZ, -184.20, accX, 0.31, accY, -0.75, accZ, -0.36, Pitch, -71.87, Roll, -66.22, Yaw, 150.89
gyroX, 189.33, gyroY, 1197.02, gyroZ, -64.15, accX, 1.23, accY, -1.05, accZ, -1.19, Pitch, -64.74, Roll, -44.59, Yaw, 119.00
gyroX, -13.06, gyroY, 722.35, gyroZ, -40.89, accX, 0.79, accY, -0.54, accZ, -1.14, Pitch, -40.68, Roll, -154.34, Yaw, -120.17
gyroX, -260.62, gyroY, 429.69, gyroZ, -27.10, accX, 1.03, accY, -0.31, accZ, -0.72, Pitch, 9.51, Roll, -66.36, Yaw, 5.36
gyroX, -504.94, gyroY, 747.13, gyroZ, -137.88, accX, 1.51, accY, -0.90, accZ, -0.72, Pitch, -3.55, Roll, -60.20, Yaw, 14.57
gyroX, -604.86, gyroY, 987.06, gyroZ, -396.00, accX, 2.11, accY, -1.76, accZ, -0.83, Pitch, -53.48, Roll, -58.63, Yaw, 155.42
gyroX, -561.52, gyroY, 551.15, gyroZ, -107.97, accX, 0.13, accY, -2.06, accZ, -1.25, Pitch, -41.67, Roll, -78.50, Yaw, 120.69
gyroX, 54.57, gyroY, 232.85, gyroZ, -265.14, accX, -0.47, accY, -2.10, accZ, -1.18, Pitch, 8.31, Roll, -38.70, Yaw, -69.57
gyroX, 54.99, gyroY, -131.41, gyroZ, -240.48, accX, -0.32, accY, -1.52, accZ, -0.33, Pitch, -47.51, Roll, 28.36, Yaw, 171.26
gyroX, -2.50, gyroY, 48.65, gyroZ, -111.94, accX, -0.32, accY, -1.08, accZ, 0.54, Pitch, 1.69, Roll, 40.97, Yaw, 111.65
gyroX, 76.78, gyroY, -320.92, gyroZ, -39.79, accX, -0.19, accY, -0.31, accZ, 0.75, Pitch, -36.77, Roll, 69.37, Yaw, 29.94
gyroX, 245.79, gyroY, -324.65, gyroZ, -12.76, accX, -0.03, accY, -0.18, accZ, 0.59, Pitch, 50.00, Roll, -147.78, Yaw, -33.68
gyroX, 74.22, gyroY, -351.68, gyroZ, -78.31, accX, 0.54, accY, -0.76, accZ, 0.20, Pitch, -77.00, Roll, -83.22, Yaw, 143.17
gyroX, -337.71, gyroY, -59.20, gyroZ, -133.12, accX, 0.18, accY, -1.09, accZ, -0.24, Pitch, -27.00, Roll, 86.44, Yaw, -140.81
gyroX, -153.63, gyroY, -196.53, gyroZ, -63.96, accX, 0.29, accY, -0.40, accZ, -0.18, Pitch, -69.34, Roll, -4.10, Yaw, -188.06
gyroX, -65.06, gyroY, -553.22, gyroZ, -120.67, accX, 0.64, accY, -0.40, accZ, -0.19, Pitch, 71.46, Roll, -10.24, Yaw, 170.47
gyroX, -14.22, gyroY, -527.65, gyroZ, -176.64, accX, 0.89, accY, -0.46, accZ, -0.13, Pitch, 55.58, Roll, -54.52, Yaw, 134.86
gyroX, 255.86, gyroY, -485.72, gyroZ, -275.76, accX, 0.60, accY, -0.64, accZ, -0.55, Pitch, -16.18, Roll, -177.71, Yaw, -4.80
gyroX, 649.35, gyroY, -178.04, gyroZ, -424.32, accX, 0.19, accY, -1.13, accZ, -0.77, Pitch, -36.80, Roll, 137.02, Yaw, -15.66
gyroX, 291.81, gyroY, -577.39, gyroZ, -152.40, accX, -0.11, accY, -2.12, accZ, -0.63, Pitch, -14.87, Roll, 170.00, Yaw, -48.92
gyroX, -377.69, gyroY, -466.19, gyroZ, -235.78, accX, 0.14, accY, -0.95, accZ, 0.38, Pitch, -38.06, Roll, -135.72, Yaw, -106.05
