gyroX, -9.22, gyroY, -99.24, gyroZ, 7.51, accX, -0.17, accY, -0.81, accZ, 0.04, Pitch, 1.13, Roll, -79.20, Yaw, 15.80
gyroX, -30.21, gyroY, -90.15, gyroZ, -12.39, accX, -0.30, accY, -1.06, accZ, 0.01, Pitch, 2.18, Roll, -92.57, Yaw, 66.34
gyroX, -33.33, gyroY, -71.41, gyroZ, 21.42, accX, -0.16, accY, -1.20, accZ, 0.08, Pitch, 19.23, Roll, -104.74, Yaw, 94.53
gyroX, -6.71, gyroY, -86.24, gyroZ, 29.24, accX, -0.20, accY, -1.05, accZ, 0.04, Pitch, 28.96, Roll, -83.71, Yaw, 154.79
gyroX, 8.79, gyroY, 50.17, gyroZ, 28.44, accX, -0.18, accY, -0.85, accZ, -0.06, Pitch, 31.96, Roll, -85.59, Yaw, 152.13
gyroX, 12.08, gyroY, 277.83, gyroZ, 42.91, accX, -0.12, accY, -0.88, accZ, -0.15, Pitch, 5.12, Roll, -122.99, Yaw, 44.25
gyroX, 72.63, gyroY, 521.42, gyroZ, 34.48, accX, 0.32, accY, -1.05, accZ, 0.06, Pitch, 13.05, Roll, -71.51, Yaw, -152.03
gyroX, 3.97, gyroY, 490.36, gyroZ, -18.80, accX, -0.04, accY, -1.14, accZ, 0.25, Pitch, -9.14, Roll, -86.67, Yaw, -46.92
gyroX, 7.81, gyroY, 324.58, gyroZ, 3.91, accX, -0.03, accY, -1.33, accZ, -0.12, Pitch, 6.38, Roll, -87.13, Yaw, -166.73
gyroX, -50.54, gyroY, 138.31, gyroZ, -44.80, accX, -0.55, accY, -1.06, accZ, -0.07, Pitch, -1.86, Roll, -101.92, Yaw, 157.89
gyroX, -43.88, gyroY, -86.43, gyroZ, -9.64, accX, -0.39, accY, -0.82, accZ, 0.29, Pitch, 10.42, Roll, -106.67, Yaw, -169.45
gyroX, -114.50, gyroY, 66.47, gyroZ, -18.37, accX, -0.36, accY, -1.27, accZ, 0.53, Pitch, 5.97, Roll, -125.32, Yaw, -169.53
gyroX, -125.85, gyroY, 83.68, gyroZ, 9.64, accX, -0.22, accY, -1.24, accZ, 0.55, Pitch, -19.41, Roll, -151.35, Yaw, 154.75
gyroX, -75.74, gyroY, -23.93, gyroZ, 86.36, accX, 0.17, accY, -1.29, accZ, 0.51, Pitch, -9.92, Roll, -147.20, Yaw, 111.38
gyroX, -147.46, gyroY, -296.33, gyroZ, 176.88, accX, 0.71, accY, -1.47, accZ, 0.37, Pitch, -13.94, Roll, -7.60, Yaw, -18.22
gyroX, -67.63, gyroY, -334.29, gyroZ, 190.55, accX, 0.52, accY, -1.42, accZ, -0.26, Pitch, 55.95, Roll, -74.16, Yaw, -161.40
gyroX, 12.08, gyroY, 47.18, gyroZ, 223.08, accX, 0.59, accY, -1.33, accZ, -0.29, Pitch, 52.95, Roll, 89.79, Yaw, 20.35
gyroX, 123.90, gyroY, 147.34, gyroZ, 193.97, accX, 0.48, accY, -0.63, accZ, -0.37, Pitch, -60.82, Roll, -124.42, Yaw, -89.68
gyroX, 264.71, gyroY, 372.74, gyroZ, 110.60, accX, 0.41, accY, -0.87, accZ, -0.56, Pitch, 53.03, Roll, -7.98, Yaw, -156.75
gyroX, 384.40, gyroY, 506.10, gyroZ, 92.77, accX, 0.67, accY, -1.49, accZ, -1.23, Pitch, -4.05, Roll, -56.63, Yaw, -127.67
gyroX, 238.53, gyroY, 472.96, gyroZ, 119.75, accX, 0.57, accY, -1.30, accZ, -1.08, Pitch, -12.69, Roll, -92.70, Yaw, -93.41
gyroX, 169.86, gyroY, 378.23, gyroZ, 126.59, accX, 0.21, accY, -1.23, accZ, -0.97, Pitch, 40.71, Roll, -124.32, Yaw, 56.72
gyroX, 132.81, gyroY, 328.43, gyroZ, 110.23, accX, 0.40, accY, -1.36, accZ, -1.11, Pitch, 1.47, Roll, -98.18, Yaw, -97.52
gyroX, 80.02, gyroY, 305.18, gyroZ, 158.69, accX, 0.22, accY, -1.02, accZ, -0.89, Pitch, 21.88, Roll, -122.57, Yaw, 75.00
