gyroX, 4.15, gyroY, -11.47, gyroZ, 4.64, accX, -0.07, accY, -1.02, accZ, -0.22, Pitch, 7.96, Roll, -104.14, Yaw, 134.16
gyroX, 4.82, gyroY, 0.12, gyroZ, 7.20, accX, -0.08, accY, -1.00, accZ, -0.24, Pitch, 8.78, Roll, -102.08, Yaw, 134.31
gyroX, 7.02, gyroY, 1.65, gyroZ, 6.90, accX, -0.07, accY, -0.99, accZ, -0.24, Pitch, 9.06, Roll, -101.08, Yaw, 133.54
gyroX, 13.73, gyroY, 4.27, gyroZ, 13.55, accX, -0.07, accY, -0.90, accZ, -0.14, Pitch, 11.38, Roll, -97.18, Yaw, 129.88
gyroX, -11.66, gyroY, 1.10, gyroZ, 18.25, accX, -0.10, accY, -0.98, accZ, -0.02, Pitch, 17.33, Roll, -98.60, Yaw, 113.03
gyroX, -10.50, gyroY, 9.52, gyroZ, 18.25, accX, -0.09, accY, -0.99, accZ, 0.04, Pitch, 18.75, Roll, -98.85, Yaw, 112.68
gyroX, -8.24, gyroY, 50.17, gyroZ, 27.65, accX, -0.04, accY, -0.96, accZ, 0.08, Pitch, 19.53, Roll, -101.25, Yaw, 98.10
gyroX, -8.97, gyroY, 72.63, gyroZ, 32.41, accX, 0.01, accY, -0.94, accZ, 0.07, Pitch, 18.78, Roll, -105.63, Yaw, 78.09
gyroX, -9.83, gyroY, 84.23, gyroZ, 34.12, accX, 0.07, accY, -1.01, accZ, 0.05, Pitch, 10.00, Roll, -112.50, Yaw, 23.69
gyroX, -27.47, gyroY, -4.46, gyroZ, 4.21, accX, -0.09, accY, -0.94, accZ, -0.18, Pitch, 12.24, Roll, -132.23, Yaw, 133.61
gyroX, -25.76, gyroY, -12.21, gyroZ, 1.95, accX, -0.09, accY, -0.95, accZ, -0.15, Pitch, 14.06, Roll, -130.01, Yaw, 139.34
gyroX, -23.56, gyroY, -25.02, gyroZ, -0.18, accX, -0.09, accY, -0.94, accZ, -0.15, Pitch, 15.99, Roll, -126.75, Yaw, 147.17
gyroX, -18.49, gyroY, -29.48, gyroZ, -2.38, accX, -0.12, accY, -0.93, accZ, -0.16, Pitch, 17.87, Roll, -121.85, Yaw, 158.80
gyroX, -13.98, gyroY, -29.17, gyroZ, -3.85, accX, -0.14, accY, -0.94, accZ, -0.18, Pitch, 18.51, Roll, -117.89, Yaw, 168.48
gyroX, -11.35, gyroY, -24.96, gyroZ, -4.27, accX, -0.15, accY, -0.95, accZ, -0.15, Pitch, 17.97, Roll, -113.62, Yaw, -181.55
gyroX, -9.89, gyroY, -30.58, gyroZ, -5.07, accX, -0.15, accY, -0.95, accZ, -0.17, Pitch, 17.24, Roll, -110.01, Yaw, -171.29
gyroX, -7.08, gyroY, -33.51, gyroZ, -5.98, accX, -0.15, accY, -0.96, accZ, -0.18, Pitch, 15.60, Roll, -104.97, Yaw, -153.04
