gyroX, -57.43, gyroY, 50.11, gyroZ, 3.85, accX, -0.10, accY, -1.42, accZ, -0.11, Pitch, 7.70, Roll, -124.60, Yaw, -36.80
gyroX, -102.17, gyroY, 184.63, gyroZ, -9.77, accX, 0.16, accY, -1.46, accZ, 0.01, Pitch, -36.56, Roll, -138.26, Yaw, -87.48
gyroX, -95.52, gyroY, 298.77, gyroZ, 11.66, accX, 0.43, accY, -1.09, accZ, 0.19, Pitch, -14.11, Roll, -56.29, Yaw, 93.63
gyroX, -24.66, gyroY, 524.60, gyroZ, 49.44, accX, 0.49, accY, -0.84, accZ, 0.14, Pitch, -3.04, Roll, -117.98, Yaw, -73.14
gyroX, 27.16, gyroY, 487.06, gyroZ, 10.80, accX, 0.61, accY, -0.67, accZ, -0.01, Pitch, -18.56, Roll, -69.24, Yaw, 165.53
gyroX, 17.76, gyroY, 477.84, gyroZ, -106.87, accX, 0.12, accY, -0.76, accZ, 0.07, Pitch, 17.70, Roll, -73.59, Yaw, 34.58
gyroX, 67.02, gyroY, 179.87, gyroZ, -164.67, accX, -0.05, accY, -0.45, accZ, -0.09, Pitch, 1.42, Roll, -73.95, Yaw, -6.00
gyroX, 95.95, gyroY, -164.73, gyroZ, -160.46, accX, -0.31, accY, -0.35, accZ, -0.16, Pitch, -24.83, Roll, -66.57, Yaw, 10.22
gyroX, 96.01, gyroY, -285.89, gyroZ, -52.73, accX, -0.23, accY, -0.42, accZ, -0.39, Pitch, -41.00, Roll, -86.87, Yaw, 62.78
gyroX, 93.20, gyroY, -236.69, gyroZ, 31.19, accX, -0.13, accY, -0.62, accZ, -0.48, Pitch, -30.86, Roll, -102.59, Yaw, 101.34
gyroX, 113.53, gyroY, -553.34, gyroZ, 128.85, accX, 0.11, accY, -1.54, accZ, -1.58, Pitch, -12.46, Roll, -50.20, Yaw, -63.91
gyroX, -135.68, gyroY, -1489.87, gyroZ, -36.80, accX, -1.81, accY, -0.42, accZ, -2.71, Pitch, 20.93, Roll, -110.05, Yaw, 150.78
gyroX, 62.62, gyroY, -590.70, gyroZ, -17.52, accX, -0.19, accY, -0.93, accZ, 1.36, Pitch, 1.80, Roll, -111.28, Yaw, 104.29
gyroX, 172.79, gyroY, 1864.69, gyroZ, -16.11, accX, -1.33, accY, -1.00, accZ, 1.21, Pitch, -2.14, Roll, -139.62, Yaw, 157.78
gyroX, -59.08, gyroY, 132.32, gyroZ, 75.68, accX, 0.65, accY, -0.89, accZ, 0.72, Pitch, -0.50, Roll, -95.44, Yaw, -146.83
gyroX, 73.00, gyroY, 364.93, gyroZ, -33.63, accX, 0.45, accY, -0.19, accZ, 1.03, Pitch, 19.14, Roll, -77.04, Yaw, 42.21
gyroX, -28.44, gyroY, 374.08, gyroZ, 70.19, accX, 0.23, accY, -0.47, accZ, 1.54, Pitch, 12.87, Roll, -118.58, Yaw, -141.76
gyroX, -203.19, gyroY, 138.49, gyroZ, 102.36, accX, 0.82, accY, -1.66, accZ, 1.15, Pitch, -6.99, Roll, -144.58, Yaw, 170.17
gyroX, -647.34, gyroY, -255.74, gyroZ, 352.97, accX, 2.51, accY, -5.20, accZ, 1.32, Pitch, -59.62, Roll, 32.94, Yaw, 100.31
gyroX, 150.94, gyroY, 184.63, gyroZ, -225.65, accX, 1.47, accY, -1.26, accZ, 0.18, Pitch, -48.50, Roll, 32.40, Yaw, 109.62
gyroX, -189.15, gyroY, -382.93, gyroZ, -171.94, accX, 1.17, accY, -1.09, accZ, 0.11, Pitch, -54.03, Roll, 170.80, Yaw, -126.71
gyroX, -158.20, gyroY, -1521.97, gyroZ, -186.28, accX, 0.27, accY, -1.54, accZ, -0.44, Pitch, 54.89, Roll, -171.15, Yaw, -115.53
gyroX, 66.53, gyroY, -1289.25, gyroZ, -241.46, accX, 1.23, accY, -1.81, accZ, 2.98, Pitch, 63.02, Roll, -97.02, Yaw, -39.11
gyroX, -316.53, gyroY, -37.05, gyroZ, -22.95, accX, -0.84, accY, -0.11, accZ, 1.38, Pitch, -34.21, Roll, 58.72, Yaw, -49.85
gyroX, -68.30, gyroY, 246.46, gyroZ, -138.79, accX, -0.98, accY, -0.26, accZ, 0.41, Pitch, 29.01, Roll, 7.99, Yaw, -110.11
gyroX, -3.48, gyroY, -194.58, gyroZ, -114.81, accX, -0.52, accY, 0.00, accZ, -0.03, Pitch, 27.92, Roll, -55.15, Yaw, -183.00
gyroX, -120.48, gyroY, -229.06, gyroZ, -178.34, accX, -1.46, accY, -1.51, accZ, -0.12, Pitch, -24.42, Roll, -153.48, Yaw, -40.19
gyroX, 19.90, gyroY, -230.59, gyroZ, 90.94, accX, -4.14, accY, -1.72, accZ, -1.33, Pitch, -9.01, Roll, 174.39, Yaw, -76.97
gyroX, -79.22, gyroY, 332.89, gyroZ, 51.45, accX, -1.28, accY, -1.58, accZ, 0.05, Pitch, -77.11, Roll, -23.52, Yaw, 122.15
gyroX, 89.90, gyroY, 125.43, gyroZ, 24.23, accX, -0.35, accY, -1.66, accZ, 0.58, Pitch, -14.45, Roll, -21.25, Yaw, 127.10
