gyroX, 47.24, gyroY, -53.96, gyroZ, 7.63, accX, -0.10, accY, -0.77, accZ, -0.11, Pitch, -4.41, Roll, -75.81, Yaw, -133.00
gyroX, 54.87, gyroY, -102.42, gyroZ, 9.64, accX, -0.19, accY, -0.85, accZ, -0.24, Pitch, -15.18, Roll, -60.52, Yaw, -65.34
gyroX, 14.22, gyroY, -261.84, gyroZ, -16.36, accX, 0.04, accY, -0.90, accZ, -0.37, Pitch, 5.89, Roll, -102.08, Yaw, 151.04
gyroX, -0.67, gyroY, -115.11, gyroZ, -13.31, accX, -0.22, accY, -1.04, accZ, -0.23, Pitch, 10.55, Roll, -97.06, Yaw, -133.12
gyroX, -2.81, gyroY, -87.83, gyroZ, -15.20, accX, -0.22, accY, -1.09, accZ, -0.06, Pitch, 3.04, Roll, -84.59, Yaw, -70.22
gyroX, -0.24, gyroY, -59.51, gyroZ, -16.72, accX, -0.15, accY, -1.19, accZ, 0.01, Pitch, -2.63, Roll, -88.13, Yaw, -39.66
gyroX, 11.84, gyroY, -3.66, gyroZ, -25.27, accX, -0.26, accY, -1.22, accZ, -0.11, Pitch, -7.41, Roll, -84.64, Yaw, -30.23
gyroX, 16.36, gyroY, 223.08, gyroZ, -8.18, accX, -0.35, accY, -1.08, accZ, -0.28, Pitch, 2.45, Roll, -82.08, Yaw, -92.46
gyroX, -177.98, gyroY, 289.73, gyroZ, -12.21, accX, 0.37, accY, -0.85, accZ, -1.12, Pitch, -39.74, Roll, -113.44, Yaw, -165.42
gyroX, -113.34, gyroY, -67.20, gyroZ, 0.06, accX, -0.18, accY, -1.19, accZ, 0.32, Pitch, 8.12, Roll, -155.28, Yaw, -141.26
gyroX, -180.05, gyroY, 5.25, gyroZ, 9.83, accX, -0.15, accY, -1.37, accZ, -0.19, Pitch, 23.26, Roll, 127.43, Yaw, -141.28
gyroX, -164.73, gyroY, 137.15, gyroZ, 52.06, accX, -0.30, accY, -1.06, accZ, 0.13, Pitch, 11.86, Roll, 78.70, Yaw, -105.01
gyroX, -145.20, gyroY, 43.33, gyroZ, 30.94, accX, -0.09, accY, -0.83, accZ, 0.09, Pitch, 28.25, Roll, 10.91, Yaw, -74.24
gyroX, -81.91, gyroY, 102.60, gyroZ, 13.67, accX, 0.17, accY, -0.78, accZ, 0.27, Pitch, 43.81, Roll, -54.79, Yaw, -95.04
gyroX, -28.02, gyroY, 52.67, gyroZ, 11.60, accX, 0.05, accY, -0.72, accZ, 0.39, Pitch, 42.71, Roll, -95.67, Yaw, -137.39
gyroX, -26.79, gyroY, -64.21, gyroZ, 7.69, accX, 0.06, accY, -0.81, accZ, 0.12, Pitch, 31.03, Roll, -88.91, Yaw, -115.86
gyroX, -19.41, gyroY, -105.41, gyroZ, 0.61, accX, -0.18, accY, -1.02, accZ, -0.23, Pitch, 19.93, Roll, -87.67, Yaw, -39.97
gyroX, 126.77, gyroY, -44.37, gyroZ, -31.31, accX, -0.10, accY, -0.98, accZ, -0.45, Pitch, 3.54, Roll, -47.03, Yaw, -11.71
gyroX, 74.77, gyroY, 97.17, gyroZ, -5.31, accX, -0.29, accY, -1.14, accZ, -1.73, Pitch, 21.10, Roll, -28.29, Yaw, -35.47
gyroX, -8.06, gyroY, 181.34, gyroZ, 33.51, accX, 0.23, accY, -1.10, accZ, -0.17, Pitch, 43.69, Roll, -118.92, Yaw, -154.91
gyroX, 9.16, gyroY, 111.51, gyroZ, 26.12, accX, -0.00, accY, -0.98, accZ, 0.14, Pitch, 5.58, Roll, -118.66, Yaw, 130.44
gyroX, -10.13, gyroY, 104.43, gyroZ, -7.63, accX, -0.17, accY, -0.98, accZ, -0.07, Pitch, -12.18, Roll, -100.86, Yaw, 48.85
gyroX, -28.69, gyroY, 49.07, gyroZ, -5.98, accX, -0.50, accY, -1.01, accZ, -0.17, Pitch, -10.41, Roll, -104.21, Yaw, 5.37
gyroX, 16.97, gyroY, 29.54, gyroZ, 10.86, accX, -0.27, accY, -0.89, accZ, -0.12, Pitch, 0.63, Roll, -99.38, Yaw, -11.50
gyroX, 4.58, gyroY, 57.43, gyroZ, 33.87, accX, -0.07, accY, -0.85, accZ, -0.08, Pitch, 9.61, Roll, -97.97, Yaw, -28.32
gyroX, 13.06, gyroY, 138.31, gyroZ, 35.77, accX, 0.01, accY, -0.90, accZ, -0.04, Pitch, 11.28, Roll, -101.15, Yaw, -76.47
