gyroX, 94.97, gyroY, -949.71, gyroZ, -456.12, accX, 1.54, accY, -0.95, accZ, -0.25, Pitch, -6.93, Roll, -122.43, Yaw, -171.25
gyroX, 161.13, gyroY, -420.65, gyroZ, -327.82, accX, 0.51, accY, -1.19, accZ, -0.01, Pitch, -25.35, Roll, -125.40, Yaw, 0.06
gyroX, 119.75, gyroY, -624.08, gyroZ, -372.19, accX, -1.06, accY, -2.42, accZ, 0.46, Pitch, -9.04, Roll, -125.92, Yaw, -1.14
gyroX, -144.59, gyroY, 257.08, gyroZ, -36.74, accX, -0.41, accY, -0.56, accZ, 0.01, Pitch, 2.94, Roll, -161.76, Yaw, 64.60
gyroX, -8.30, gyroY, 855.29, gyroZ, -70.01, accX, 0.11, accY, -0.67, accZ, -1.07, Pitch, -54.50, Roll, -137.20, Yaw, 37.05
gyroX, 0.55, gyroY, 178.47, gyroZ, -127.08, accX, 0.18, accY, -0.77, accZ, -0.76, Pitch, -9.30, Roll, -3.94, Yaw, -130.36
gyroX, -26.86, gyroY, -166.93, gyroZ, -132.45, accX, 0.47, accY, -0.72, accZ, -0.23, Pitch, -65.67, Roll, 31.33, Yaw, 158.59
gyroX, -1.59, gyroY, -66.04, gyroZ, -90.33, accX, 0.20, accY, -0.69, accZ, -0.00, Pitch, -63.32, Roll, 97.56, Yaw, 80.31
gyroX, 20.63, gyroY, -31.31, gyroZ, -93.26, accX, 0.16, accY, -0.87, accZ, -0.07, Pitch, -14.19, Roll, 147.35, Yaw, 47.83
gyroX, 66.35, gyroY, 258.12, gyroZ, -34.67, accX, 0.28, accY, -0.65, accZ, -0.28, Pitch, -59.05, Roll, -15.60, Yaw, -75.47
gyroX, 148.93, gyroY, 437.99, gyroZ, 252.81, accX, 1.20, accY, -0.40, accZ, -0.70, Pitch, 42.97, Roll, -35.02, Yaw, -89.58
gyroX, -18.92, gyroY, 216.92, gyroZ, 323.18, accX, 0.77, accY, -1.24, accZ, 0.40, Pitch, -79.95, Roll, 174.86, Yaw, 2.61
gyroX, -101.81, gyroY, 384.77, gyroZ, 53.89, accX, 0.53, accY, -0.99, accZ, 0.64, Pitch, 38.93, Roll, -91.85, Yaw, 111.21
gyroX, -98.14, gyroY, 154.48, gyroZ, 13.49, accX, 0.03, accY, -1.12, accZ, 0.55, Pitch, -39.54, Roll, -78.76, Yaw, -99.76
gyroX, -114.87, gyroY, 66.59, gyroZ, -10.38, accX, 0.14, accY, -0.93, accZ, 0.05, Pitch, -38.70, Roll, -120.80, Yaw, -121.99
gyroX, -260.56, gyroY, 352.36, gyroZ, 45.96, accX, -0.05, accY, -1.12, accZ, -0.45, Pitch, -58.54, Roll, -94.40, Yaw, 85.82
gyroX, -179.87, gyroY, 615.84, gyroZ, -23.86, accX, 0.36, accY, -1.30, accZ, 0.06, Pitch, -16.63, Roll, -99.27, Yaw, -182.50
gyroX, -212.22, gyroY, 417.72, gyroZ, -140.62, accX, -0.15, accY, -1.12, accZ, 0.13, Pitch, -21.58, Roll, -82.74, Yaw, -128.65
gyroX, -158.87, gyroY, 324.10, gyroZ, -359.50, accX, 0.77, accY, -1.22, accZ, -0.35, Pitch, -38.37, Roll, -6.61, Yaw, 11.97
gyroX, -360.23, gyroY, 1466.19, gyroZ, -281.62, accX, -0.36, accY, -1.51, accZ, -1.10, Pitch, 15.43, Roll, -113.38, Yaw, -129.51
gyroX, -249.39, gyroY, 1582.89, gyroZ, -224.00, accX, 0.00, accY, -1.18, accZ, -0.18, Pitch, -35.77, Roll, -115.18, Yaw, 163.23
gyroX, -186.89, gyroY, -125.31, gyroZ, -288.33, accX, 0.07, accY, -1.23, accZ, 0.35, Pitch, -57.16, Roll, -21.44, Yaw, -120.52
gyroX, -119.75, gyroY, 22.83, gyroZ, -277.10, accX, 0.09, accY, -1.18, accZ, 0.94, Pitch, -5.85, Roll, 1.21, Yaw, 31.85
gyroX, 3.97, gyroY, -7.20, gyroZ, -212.40, accX, 0.23, accY, -0.66, accZ, 0.10, Pitch, -29.87, Roll, -11.31, Yaw, -87.43
gyroX, 7.02, gyroY, -36.19, gyroZ, -144.10, accX, 0.30, accY, -0.82, accZ, 0.23, Pitch, -35.45, Roll, 39.58, Yaw, -171.63
gyroX, 1.95, gyroY, 73.49, gyroZ, -70.98, accX, 0.33, accY, -0.81, accZ, 0.57, Pitch, -8.87, Roll, 25.40, Yaw, 162.07
gyroX, 38.09, gyroY, 61.58, gyroZ, 29.97, accX, 0.23, accY, -0.47, accZ, 0.72, Pitch, 7.71, Roll, 22.20, Yaw, -185.49
gyroX, 39.37, gyroY, -45.29, gyroZ, 95.15, accX, 0.58, accY, -0.61, accZ, 0.21, Pitch, -48.07, Roll, 8.34, Yaw, -136.04
gyroX, 14.28, gyroY, -157.04, gyroZ, 103.94, accX, 1.04, accY, -0.55, accZ, 0.35, Pitch, -49.11, Roll, -101.47, Yaw, -2.54
gyroX, 51.82, gyroY, -108.83, gyroZ, 39.98, accX, 0.67, accY, -0.65, accZ, 0.58, Pitch, -22.00, Roll, -88.54, Yaw, 37.42
gyroX, 108.22, gyroY, -256.77, gyroZ, 16.78, accX, 0.48, accY, -0.68, accZ, 0.59, Pitch, -37.90, Roll, -83.68, Yaw, 157.37
gyroX, 333.13, gyroY, -980.96, gyroZ, -11.05, accX, 0.30, accY, -1.14, accZ, 1.18, Pitch, -24.48, Roll, -96.65, Yaw, -117.22
gyroX, 423.52, gyroY, -1477.17, gyroZ, -217.47, accX, 0.46, accY, -1.04, accZ, 0.21, Pitch, -19.21, Roll, -94.73, Yaw, 107.15
gyroX, 314.58, gyroY, -1170.78, gyroZ, -446.66, accX, 0.78, accY, -1.33, accZ, 0.45, Pitch, -22.62, Roll, -115.48, Yaw, -147.56
gyroX, 167.79, gyroY, -646.18, gyroZ, -483.70, accX, 0.56, accY, -1.32, accZ, 0.51, Pitch, -16.48, Roll, -124.40, Yaw, 140.36
gyroX, 76.78, gyroY, -524.35, gyroZ, -442.57, accX, 0.48, accY, -1.68, accZ, 0.70, Pitch, -6.63, Roll, -129.73, Yaw, 4.41
gyroX, 148.44, gyroY, -787.54, gyroZ, -408.51, accX, -0.95, accY, -3.22, accZ, -0.20, Pitch, -2.03, Roll, -120.14, Yaw, -5.52
gyroX, -257.63, gyroY, -191.53, gyroZ, 86.91, accX, -0.74, accY, -1.10, accZ, -1.02, Pitch, 79.70, Roll, 168.55, Yaw, 63.58
gyroX, 183.78, gyroY, 19.41, gyroZ, -378.30, accX, -0.13, accY, -1.16, accZ, -0.22, Pitch, -46.79, Roll, 99.85, Yaw, -114.68
gyroX, 51.57, gyroY, 89.84, gyroZ, -158.69, accX, 1.48, accY, -1.18, accZ, 0.64, Pitch, 19.36, Roll, 178.43, Yaw, -125.68
gyroX, 50.11, gyroY, -28.14, gyroZ, -184.57, accX, -0.12, accY, -1.33, accZ, -0.11, Pitch, -43.26, Roll, -137.77, Yaw, -24.28
gyroX, 110.60, gyroY, 85.94, gyroZ, -227.05, accX, 0.18, accY, -1.30, accZ, -0.77, Pitch, 20.86, Roll, -143.27, Yaw, -43.92
gyroX, 161.99, gyroY, 193.12, gyroZ, -252.01, accX, 0.07, accY, -1.03, accZ, -0.75, Pitch, -64.70, Roll, 2.29, Yaw, -123.10
gyroX, 71.66, gyroY, 132.81, gyroZ, -230.35, accX, 0.27, accY, -0.90, accZ, -0.62, Pitch, 51.15, Roll, 78.53, Yaw, -145.01
gyroX, 24.54, gyroY, 165.89, gyroZ, -211.18, accX, 0.18, accY, -0.45, accZ, -0.35, Pitch, -18.08, Roll, -127.08, Yaw, -0.69
gyroX, -99.55, gyroY, 128.11, gyroZ, -133.06, accX, 0.39, accY, -0.21, accZ, 0.02, Pitch, 2.87, Roll, -35.73, Yaw, 95.53
gyroX, -157.71, gyroY, 60.73, gyroZ, 3.91, accX, 0.58, accY, -0.08, accZ, 0.18, Pitch, -19.13, Roll, -88.22, Yaw, 47.19
gyroX, -268.31, gyroY, 33.39, gyroZ, 96.68, accX, 0.63, accY, -0.25, accZ, 0.28, Pitch, -36.22, Roll, 166.66, Yaw, -3.42
gyroX, -354.25, gyroY, 209.78, gyroZ, 200.38, accX, 0.58, accY, -0.43, accZ, 0.38, Pitch, -35.65, Roll, -79.44, Yaw, 89.61
gyroX, -408.51, gyroY, 457.52, gyroZ, 270.20, accX, 0.44, accY, -0.78, accZ, 0.37, Pitch, -53.75, Roll, -101.92, Yaw, -185.12
gyroX, -332.40, gyroY, 546.08, gyroZ, 94.06, accX, 0.05, accY, -1.56, accZ, 0.38, Pitch, -52.93, Roll, -94.02, Yaw, -174.39
gyroX, -210.45, gyroY, 455.38, gyroZ, -15.20, accX, 0.13, accY, -1.23, accZ, 0.35, Pitch, -12.43, Roll, -67.68, Yaw, 59.88
gyroX, -135.74, gyroY, 510.99, gyroZ, -159.91, accX, 0.47, accY, -1.10, accZ, 0.68, Pitch, -24.56, Roll, -85.54, Yaw, -87.50
gyroX, -118.53, gyroY, 19.65, gyroZ, -149.90, accX, 0.40, accY, -1.23, accZ, 0.71, Pitch, -11.54, Roll, -35.67, Yaw, 121.02
gyroX, -99.55, gyroY, -135.38, gyroZ, -200.68, accX, 1.02, accY, -0.82, accZ, 1.47, Pitch, -59.56, Roll, -174.05, Yaw, -144.11
gyroX, -377.14, gyroY, -303.89, gyroZ, -154.60, accX, 0.89, accY, -1.01, accZ, 0.12, Pitch, -11.68, Roll, 39.85, Yaw, -135.11
gyroX, -164.18, gyroY, -1768.86, gyroZ, -315.67, accX, 0.52, accY, -1.89, accZ, -0.18, Pitch, 50.27, Roll, 36.50, Yaw, -107.10
gyroX, -588.93, gyroY, 1984.31, gyroZ, 801.88, accX, -0.54, accY, -1.89, accZ, 1.03, Pitch, -30.20, Roll, -111.05, Yaw, -84.21
gyroX, -455.57, gyroY, 566.04, gyroZ, 80.20, accX, 0.11, accY, -1.60, accZ, 0.26, Pitch, -39.88, Roll, -104.84, Yaw, -118.88
gyroX, -546.14, gyroY, 356.32, gyroZ, 397.89, accX, 0.83, accY, -1.90, accZ, 0.56, Pitch, -46.57, Roll, -120.93, Yaw, -86.15
gyroX, -231.93, gyroY, 421.57, gyroZ, 236.94, accX, 1.25, accY, -1.46, accZ, 1.05, Pitch, -14.48, Roll, -120.78, Yaw, 63.58
gyroX, -469.73, gyroY, 284.06, gyroZ, -5.86, accX, 0.88, accY, -0.82, accZ, 1.15, Pitch, -50.50, Roll, -40.43, Yaw, 140.58
gyroX, -333.19, gyroY, 130.37, gyroZ, -48.89, accX, 1.08, accY, -0.82, accZ, 0.18, Pitch, -67.38, Roll, -138.62, Yaw, 78.22
gyroX, -325.07, gyroY, -4.88, gyroZ, -110.35, accX, 0.29, accY, -0.76, accZ, -0.08, Pitch, -66.89, Roll, 114.72, Yaw, 102.93
gyroX, -452.82, gyroY, 179.14, gyroZ, -146.24, accX, 0.25, accY, -0.60, accZ, -0.04, Pitch, -26.01, Roll, -80.95, Yaw, 86.91
gyroX, -418.15, gyroY, 143.13, gyroZ, -110.29, accX, 0.42, accY, -0.67, accZ, 0.28, Pitch, -61.40, Roll, 41.97, Yaw, 143.92
gyroX, 4.46, gyroY, 0.85, gyroZ, -126.71, accX, 0.66, accY, -0.23, accZ, 0.18, Pitch, -41.82, Roll, 24.80, Yaw, 104.08
gyroX, 19.35, gyroY, -32.90, gyroZ, -139.22, accX, 0.68, accY, -0.23, accZ, -0.06, Pitch, -32.21, Roll, 52.80, Yaw, 60.24
gyroX, 232.73, gyroY, -304.63, gyroZ, -164.98, accX, 0.59, accY, -0.05, accZ, -0.01, Pitch, 42.33, Roll, 156.57, Yaw, -15.90
gyroX, 276.00, gyroY, -409.36, gyroZ, -135.19, accX, 0.92, accY, 0.01, accZ, -0.46, Pitch, -28.38, Roll, 29.13, Yaw, 82.65
gyroX, 425.72, gyroY, -285.46, gyroZ, -219.97, accX, 0.12, accY, -0.28, accZ, -0.72, Pitch, -5.65, Roll, 171.46, Yaw, 5.20
gyroX, 381.96, gyroY, -577.70, gyroZ, -327.45, accX, 0.09, accY, -1.01, accZ, -0.92, Pitch, 13.54, Roll, -134.68, Yaw, 21.84
gyroX, 412.66, gyroY, -827.94, gyroZ, -298.03, accX, 0.16, accY, -0.67, accZ, -0.69, Pitch, 0.57, Roll, -92.86, Yaw, 77.70
gyroX, 327.94, gyroY, -758.42, gyroZ, -312.26, accX, 0.43, accY, -1.00, accZ, -0.38, Pitch, -26.89, Roll, -91.09, Yaw, 136.92
gyroX, 129.27, gyroY, -456.18, gyroZ, -162.17, accX, 0.37, accY, -0.82, accZ, -0.25, Pitch, 0.03, Roll, -111.81, Yaw, 39.08
gyroX, 92.83, gyroY, -53.47, gyroZ, -54.14, accX, 0.90, accY, -1.67, accZ, 0.61, Pitch, -10.63, Roll, -78.38, Yaw, 113.52
gyroX, -265.20, gyroY, -417.66, gyroZ, -32.41, accX, -0.09, accY, -0.98, accZ, 0.16, Pitch, 7.19, Roll, -137.28, Yaw, -147.47
gyroX, -290.65, gyroY, -675.42, gyroZ, -157.78, accX, 0.47, accY, -1.69, accZ, 0.57, Pitch, -2.77, Roll, -75.74, Yaw, 103.21
gyroX, -630.00, gyroY, -269.29, gyroZ, 11.54, accX, -0.08, accY, -2.04, accZ, 0.07, Pitch, 66.06, Roll, 134.51, Yaw, -177.81
gyroX, -539.49, gyroY, -226.26, gyroZ, -4.82, accX, -0.14, accY, -2.08, accZ, 0.40, Pitch, 44.16, Roll, -130.71, Yaw, -171.89
gyroX, 207.21, gyroY, -210.63, gyroZ, -303.22, accX, 0.18, accY, -0.73, accZ, 0.72, Pitch, -64.84, Roll, -41.59, Yaw, -90.32
gyroX, -109.68, gyroY, 915.77, gyroZ, -134.95, accX, 0.25, accY, -0.94, accZ, -0.42, Pitch, -27.65, Roll, -166.59, Yaw, 28.32
gyroX, 138.43, gyroY, -245.67, gyroZ, -171.14, accX, -0.50, accY, -1.46, accZ, -0.56, Pitch, -11.01, Roll, -128.50, Yaw, 47.16
gyroX, 60.49, gyroY, -93.32, gyroZ, -185.49, accX, -0.17, accY, -1.24, accZ, -0.60, Pitch, -25.28, Roll, -107.38, Yaw, -175.77
gyroX, 59.69, gyroY, 139.22, gyroZ, -179.08, accX, -0.01, accY, -1.17, accZ, -0.61, Pitch, -47.67, Roll, 3.40, Yaw, 75.68
gyroX, 7.69, gyroY, 54.26, gyroZ, -166.87, accX, -0.00, accY, -0.92, accZ, -0.39, Pitch, -30.85, Roll, 62.21, Yaw, 11.29
gyroX, 37.78, gyroY, 156.07, gyroZ, -126.46, accX, -0.06, accY, -0.76, accZ, -0.59, Pitch, 54.31, Roll, 117.39, Yaw, 85.68
gyroX, -210.63, gyroY, 332.89, gyroZ, 41.20, accX, 0.45, accY, -1.13, accZ, 0.57, Pitch, -29.69, Roll, -92.82, Yaw, 142.67
gyroX, -201.42, gyroY, 372.80, gyroZ, -12.57, accX, 0.46, accY, -1.15, accZ, 0.37, Pitch, -29.41, Roll, -89.87, Yaw, -71.73
gyroX, -169.86, gyroY, 251.65, gyroZ, -107.48, accX, 0.87, accY, -1.06, accZ, 0.27, Pitch, -43.63, Roll, -70.33, Yaw, 138.04
gyroX, -132.08, gyroY, -249.69, gyroZ, -254.33, accX, 0.79, accY, -0.91, accZ, -0.16, Pitch, -53.20, Roll, 104.55, Yaw, -125.89
gyroX, -155.40, gyroY, 119.63, gyroZ, -101.20, accX, 0.04, accY, -1.01, accZ, -0.23, Pitch, -8.30, Roll, 50.59, Yaw, -107.07
gyroX, -286.87, gyroY, 138.55, gyroZ, -248.90, accX, 0.11, accY, -1.22, accZ, -0.31, Pitch, -32.58, Roll, -165.79, Yaw, -172.14
gyroX, -335.33, gyroY, 13.31, gyroZ, -141.97, accX, 0.24, accY, -1.76, accZ, 0.16, Pitch, 13.67, Roll, -27.65, Yaw, 115.25
gyroX, -653.26, gyroY, 1565.86, gyroZ, -56.95, accX, -1.27, accY, -2.64, accZ, -0.19, Pitch, 27.38, Roll, -114.86, Yaw, 34.41
gyroX, -469.79, gyroY, 1296.02, gyroZ, -10.13, accX, 0.23, accY, -1.28, accZ, -0.55, Pitch, -41.64, Roll, -50.28, Yaw, -184.56
gyroX, -507.14, gyroY, 655.33, gyroZ, -130.49, accX, -0.25, accY, -1.93, accZ, 1.15, Pitch, -40.04, Roll, -117.01, Yaw, 1.17
gyroX, -94.36, gyroY, -125.61, gyroZ, -232.48, accX, 0.20, accY, -1.46, accZ, 0.91, Pitch, 5.30, Roll, 141.62, Yaw, 104.64
