gyroX, -75.50, gyroY, 33.81, gyroZ, 136.17, accX, -1.11, accY, -0.12, accZ, 0.47, Pitch, 24.88, Roll, 60.03, Yaw, 8.58
gyroX, -66.28, gyroY, 50.84, gyroZ, 147.95, accX, -1.00, accY, -0.11, accZ, 0.25, Pitch, 10.64, Roll, 43.86, Yaw, 51.78
gyroX, -89.48, gyroY, 18.37, gyroZ, 166.50, accX, -0.96, accY, -0.07, accZ, 0.23, Pitch, 10.76, Roll, 12.98, Yaw, 112.81
gyroX, -85.14, gyroY, -51.45, gyroZ, 174.93, accX, -0.72, accY, 0.14, accZ, 0.37, Pitch, 12.55, Roll, -4.66, Yaw, -182.61
gyroX, -72.20, gyroY, -70.98, gyroZ, 123.66, accX, -0.71, accY, 0.30, accZ, 0.35, Pitch, 10.19, Roll, -11.20, Yaw, -128.05
gyroX, -50.54, gyroY, -136.90, gyroZ, 122.80, accX, -0.76, accY, 0.45, accZ, 0.56, Pitch, -4.41, Roll, -21.06, Yaw, -65.97
gyroX, -21.42, gyroY, -156.13, gyroZ, 101.62, accX, -0.62, accY, 0.53, accZ, 0.66, Pitch, -28.47, Roll, -46.34, Yaw, 20.17
gyroX, 9.83, gyroY, -127.26, gyroZ, 94.73, accX, -0.71, accY, 0.46, accZ, 0.71, Pitch, -6.56, Roll, -52.51, Yaw, 114.71
gyroX, 27.65, gyroY, -137.88, gyroZ, 88.26, accX, -0.46, accY, 0.48, accZ, 0.70, Pitch, -18.44, Roll, -28.28, Yaw, -155.87
gyroX, 19.10, gyroY, -76.05, gyroZ, 38.02, accX, -0.38, accY, 0.58, accZ, 0.74, Pitch, -25.30, Roll, -21.63, Yaw, -140.14
gyroX, -0.79, gyroY, -36.38, gyroZ, -4.82, accX, -0.34, accY, 0.68, accZ, 0.75, Pitch, -26.65, Roll, -14.25, Yaw, -143.00
gyroX, -51.15, gyroY, -18.01, gyroZ, -122.99, accX, -0.26, accY, 0.65, accZ, 0.69, Pitch, -29.83, Roll, -1.52, Yaw, -170.75
gyroX, -112.67, gyroY, 142.46, gyroZ, -252.81, accX, -0.56, accY, 0.51, accZ, 0.89, Pitch, 9.58, Roll, -11.34, Yaw, 120.29
gyroX, -128.42, gyroY, 82.15, gyroZ, -305.24, accX, -0.50, accY, 0.02, accZ, 0.73, Pitch, -38.02, Roll, 27.72, Yaw, -175.94
gyroX, -56.95, gyroY, 122.44, gyroZ, -295.59, accX, -1.33, accY, -0.29, accZ, 0.90, Pitch, 26.16, Roll, -50.43, Yaw, 39.14
gyroX, -50.42, gyroY, 84.59, gyroZ, -248.17, accX, -0.85, accY, -0.47, accZ, 0.40, Pitch, -40.65, Roll, -53.55, Yaw, -62.97
gyroX, -21.12, gyroY, -9.70, gyroZ, -129.09, accX, -1.37, accY, -0.55, accZ, 0.62, Pitch, -42.19, Roll, 9.62, Yaw, -172.11
gyroX, 14.65, gyroY, -26.92, gyroZ, 139.16, accX, -2.11, accY, -0.70, accZ, 0.82, Pitch, -27.85, Roll, -0.08, Yaw, -160.91
gyroX, 27.83, gyroY, -83.50, gyroZ, 316.89, accX, -0.92, accY, -0.52, accZ, 0.71, Pitch, -7.00, Roll, -28.86, Yaw, -67.57
gyroX, 86.98, gyroY, -87.52, gyroZ, 393.74, accX, -0.61, accY, -0.16, accZ, 0.78, Pitch, 8.20, Roll, 3.57, Yaw, 41.20
gyroX, 145.20, gyroY, -116.70, gyroZ, 388.98, accX, -0.44, accY, 0.13, accZ, 0.64, Pitch, -39.84, Roll, 13.44, Yaw, 144.65
gyroX, 238.46, gyroY, -314.03, gyroZ, 392.76, accX, 0.17, accY, 0.36, accZ, 0.43, Pitch, -30.29, Roll, -73.76, Yaw, -22.84
gyroX, 249.51, gyroY, -322.75, gyroZ, 290.89, accX, -0.07, accY, 0.53, accZ, 0.36, Pitch, -22.63, Roll, -25.10, Yaw, 94.78
gyroX, 232.24, gyroY, -421.94, gyroZ, 186.89, accX, 0.14, accY, 0.75, accZ, 0.46, Pitch, -54.28, Roll, -113.05, Yaw, -69.64
